MSA,Tract ID,White Alone,Black or African American alone,Asian alone,Family Households,Nonfamily Households,Household income: < 10k,Household income: 10-15k,Household income: 15-20k,Household income: 20-25k,Household income: 25-30k,Household income: 30-35k,Household income: 35-40k,Household income: 40-45k,Household income: 45-50k,Household income: 50-60k,Household income: 60-75k,Household income: 75-100k,Household income: 100-125k,Household income: 125-150k,Household income: 150-200k,Household income: > 200k,With wage or salary income,No wage or salary income,With self-employment income,No self-employment income,With interest dividends or net rental income,No interest dividends or net rental income,With Social Security income,No Social Security income,With Supplemental Security Income (SSI),No Supplemental Security Income (SSI),With public assistance income,No public assistance income,With cash public assistance or Food Stamps/SNAP,No cash public assistance or Food Stamps/SNAP,With retirement income,No retirement income,Per capita income (2010 dollars),Housing units,Occupancy status: Occupied,Occupancy status: Vacant,Housing tenure: Owner-occupied,Housing tenure: Renter-occupied,Median number of rooms,Median gross rent (dollars),Median value for owner-occupied housing
San Francisco-Oakland-Hayward,6001430900,3076,614,801,1253,584,43,142,69,80,135,93,60,134,124,168,264,244,138,52,54,37,1550,287,197,1640,274,1563,321,1516,57,1780,129,1708,158,1679,251,1586,25313,1889,1837,1837,287,1550,4.1,1253,469300
San Francisco-Oakland-Hayward,6001408000,1456,35,530,654,310,0,0,0,0,0,0,0,9,0,48,62,201,185,61,211,187,844,120,267,697,558,406,230,734,0,964,16,948,16,948,201,763,69130,1032,964,964,850,114,6.7,2001,764100
San Francisco-Oakland-Hayward,6001430700,2547,44,414,964,323,37,56,36,20,9,30,42,50,25,140,98,141,221,116,186,80,1022,265,223,1064,491,796,369,918,28,1259,9,1278,39,1248,285,1002,37874,1386,1287,1287,1014,273,5.8,1202,618500
San Francisco-Oakland-Hayward,6001450742,3302,72,712,1268,413,46,44,25,18,60,73,44,81,52,111,61,259,216,213,162,216,1336,345,243,1438,654,1027,454,1227,38,1643,10,1671,19,1662,343,1338,45213,1713,1681,1681,1338,343,5.9,1468,655500
San Francisco-Oakland-Hayward,6001450743,2345,372,2152,1414,727,38,34,0,0,17,53,57,97,58,120,464,347,331,137,251,137,2035,106,204,1937,622,1519,147,1994,14,2127,29,2112,29,2112,108,2033,41520,2287,2141,2141,664,1477,4.2,1592,574300
San Francisco-Oakland-Hayward,6001450741,3623,29,457,1111,530,90,53,67,52,35,78,35,32,78,46,116,142,169,131,124,393,1244,397,216,1425,635,1006,407,1234,15,1626,32,1609,32,1609,311,1330,49132,1699,1641,1641,1019,622,5.5,1359,814200
San Francisco-Oakland-Hayward,6001450746,2208,23,241,801,283,23,24,0,40,34,24,12,45,12,39,90,113,173,187,166,102,885,199,89,995,370,714,234,850,23,1061,0,1084,0,1084,188,896,43668,1126,1084,1084,777,307,5.5,1947,664900
San Francisco-Oakland-Hayward,6001450744,2923,42,1122,1195,250,35,15,17,0,32,28,18,74,25,60,95,266,231,52,239,258,1265,180,166,1279,598,847,274,1171,46,1399,55,1390,64,1381,253,1192,41761,1461,1445,1445,1279,166,6.9,1903,708500
San Francisco-Oakland-Hayward,6001450745,2678,67,2506,1387,251,42,0,0,37,8,0,12,78,29,35,126,238,196,227,310,300,1532,106,231,1407,666,972,128,1510,0,1638,0,1638,0,1638,184,1454,43846,1685,1638,1638,1244,394,5.6,1793,707700
San Francisco-Oakland-Hayward,6001451201,4579,438,775,1735,779,55,185,88,64,104,15,27,75,64,132,215,397,262,252,283,296,2175,339,250,2264,748,1766,428,2086,14,2500,15,2499,29,2485,296,2218,39147,2629,2514,2514,1812,702,5.5,1342,507800
San Francisco-Oakland-Hayward,6001451202,2947,15,136,885,323,21,42,0,9,9,6,30,13,27,94,125,272,195,137,161,67,1071,137,132,1076,306,902,175,1033,0,1208,9,1199,13,1195,247,961,37211,1233,1208,1208,1004,204,5.9,1780,535500
San Francisco-Oakland-Hayward,6001433200,2564,1467,2579,1647,929,144,154,126,203,76,111,127,165,54,248,276,411,216,54,199,12,2117,459,251,2325,528,2048,572,2004,98,2478,99,2477,119,2457,342,2234,24241,2686,2576,2576,1143,1433,4.5,1131,460400
San Francisco-Oakland-Hayward,6001404502,4625,219,527,1695,798,16,18,19,15,53,48,54,43,0,43,92,457,328,348,345,614,1917,576,727,1766,1514,979,573,1920,13,2480,12,2481,31,2462,483,2010,68278,2615,2493,2493,2098,395,6.4,1936,847000
San Francisco-Oakland-Hayward,6001405100,3211,497,301,1294,283,0,41,11,34,35,12,39,41,42,71,53,92,193,49,194,670,1190,387,450,1127,947,630,347,1230,43,1534,1,1576,1,1576,237,1340,74470,1685,1577,1577,1463,114,7.4,1367,908300
San Francisco-Oakland-Hayward,6001425104,1394,605,662,507,1048,113,216,115,107,75,18,45,14,84,171,181,78,91,131,97,19,1177,378,285,1270,289,1266,284,1271,162,1393,78,1477,143,1412,90,1465,33293,1708,1555,1555,454,1101,3.7,1128,398300
San Francisco-Oakland-Hayward,6001432600,2638,1548,1301,1590,1221,190,223,154,199,157,168,146,135,210,124,381,253,240,121,83,27,2096,715,191,2620,507,2304,608,2203,200,2611,105,2706,133,2678,562,2249,26787,2869,2811,2811,772,2039,3.9,1080,372000
San Francisco-Oakland-Hayward,6001425101,1249,38,750,392,949,110,40,70,22,44,37,86,14,119,73,197,123,104,78,47,177,1016,325,284,1057,607,734,296,1045,0,1341,15,1326,68,1273,360,981,59482,1341,1341,1341,668,673,3.2,1405,360100
San Francisco-Oakland-Hayward,6001425102,768,295,920,231,1246,97,80,53,34,20,162,53,31,43,128,151,210,159,61,29,166,969,508,285,1192,395,1082,134,1343,27,1450,0,1477,53,1424,97,1380,63803,1780,1477,1477,435,1042,3.2,1673,477500
San Francisco-Oakland-Hayward,6001425103,1066,439,700,453,753,47,63,14,139,74,0,67,0,24,0,210,67,49,210,108,134,930,276,142,1064,314,892,136,1070,14,1192,58,1148,88,1118,65,1141,59194,1288,1206,1206,458,748,3.6,1469,495900
San Francisco-Oakland-Hayward,6001440200,1857,94,706,1214,237,80,146,35,37,111,73,123,13,60,109,242,203,114,48,32,25,1260,191,177,1274,114,1337,351,1100,127,1324,125,1326,198,1253,211,1240,16635,1514,1451,1451,749,702,5.2,1209,492700
San Francisco-Oakland-Hayward,6001406400,841,836,484,452,265,132,90,23,30,0,61,0,20,17,68,49,82,0,90,41,14,518,199,82,635,141,576,251,466,89,628,9,708,133,584,131,586,23668,782,717,717,400,317,4.6,775,461900
San Francisco-Oakland-Hayward,6001402600,225,310,446,163,358,47,92,100,47,38,29,40,18,0,0,9,54,19,9,9,10,263,258,82,439,93,428,153,368,134,387,0,521,0,521,56,465,21887,617,521,521,87,434,3.1,753,407400
San Francisco-Oakland-Hayward,6001422000,494,365,285,240,274,73,5,29,25,13,27,30,10,46,50,36,58,19,36,32,25,333,181,235,279,73,441,74,440,38,476,25,489,25,489,32,482,28980,574,514,514,225,289,4,802,519900
